name,tear,score,rate
허거덩,CHALLENGER,1946점,206승 134패 (60.59%)
dlwlrma22,CHALLENGER,1807점,267승 190패 (58.42%)
카 엘,CHALLENGER,1793점,243승 171패 (58.70%)
Radiohead,CHALLENGER,1741점,383승 325패 (54.10%)
Moham,CHALLENGER,1719점,530승 449패 (54.14%)
불 독,CHALLENGER,1645점,195승 122패 (61.51%)
Karis,CHALLENGER,1625점,322승 260패 (55.33%)
어쩌라고맞짱뜰까,CHALLENGER,1618점,221승 157패 (58.47%)
정지훈,CHALLENGER,1609점,365승 290패 (55.73%)
XiaoHao,CHALLENGER,1591점,235승 147패 (61.52%)
뚱뚱이,CHALLENGER,1571점,380승 317패 (54.52%)
Lure,CHALLENGER,1550점,373승 296패 (55.75%)
윤용호,CHALLENGER,1543점,320승 248패 (56.34%)
qazwsxedcrfvdf,CHALLENGER,1528점,276승 205패 (57.38%)
nikett,CHALLENGER,1523점,404승 297패 (57.63%)
숟가락전사,CHALLENGER,1502점,405승 341패 (54.29%)
NS Callme,CHALLENGER,1493점,466승 404패 (53.56%)
플레이리스트겨울,CHALLENGER,1486점,289승 233패 (55.36%)
HamBak,CHALLENGER,1462점,305승 234패 (56.59%)
hwa i tings,CHALLENGER,1458점,615승 553패 (52.65%)
Arnold Hur,CHALLENGER,1446점,370승 295패 (55.64%)
xycg,CHALLENGER,1443점,424승 359패 (54.15%)
관 모,CHALLENGER,1423점,573승 518패 (52.52%)
Way,CHALLENGER,1417점,297승 250패 (54.30%)
homem aranha,CHALLENGER,1406점,217승 155패 (58.33%)
밤이싫어,CHALLENGER,1394점,407승 341패 (54.41%)
읽씹맨,CHALLENGER,1394점,457승 393패 (53.76%)
태 윤,CHALLENGER,1392점,308승 253패 (54.90%)
Kingen,CHALLENGER,1386점,348승 287패 (54.80%)
jinyuhuahuo,CHALLENGER,1383점,369승 305패 (54.75%)
Azhy,CHALLENGER,1382점,255승 196패 (56.54%)
노장 두티,CHALLENGER,1381점,254승 195패 (56.57%)
Samver,CHALLENGER,1380점,296승 232패 (56.06%)
Minous,CHALLENGER,1378점,303승 244패 (55.39%)
Rooster,CHALLENGER,1369점,361승 295패 (55.03%)
gougoujingzhang,CHALLENGER,1365점,352승 296패 (54.32%)
livinli,CHALLENGER,1360점,202승 131패 (60.66%)
DK Lucid,CHALLENGER,1359점,288승 238패 (54.75%)
Effort,CHALLENGER,1359점,241승 195패 (55.28%)
ShowMaker,CHALLENGER,1356점,220승 171패 (56.27%)
르세라핌 정훈,CHALLENGER,1352점,171승 98패 (63.57%)
Quad,CHALLENGER,1347점,292승 214패 (57.71%)
광연44,CHALLENGER,1347점,163승 89패 (64.68%)
Sad mood,CHALLENGER,1341점,227승 169패 (57.32%)
Bae Suzy,CHALLENGER,1323점,299승 250패 (54.46%)
HLE Life Esports,CHALLENGER,1320점,269승 217패 (55.35%)
Burdol,CHALLENGER,1316점,226승 161패 (58.40%)
따봉 람머스,CHALLENGER,1311점,251승 199패 (55.78%)
나 비,CHALLENGER,1300점,246승 194패 (55.91%)
강성인,CHALLENGER,1285점,292승 239패 (54.99%)
Blue Oasis,CHALLENGER,1282점,177승 141패 (55.66%)
따붕 람미스,CHALLENGER,1273점,278승 217패 (56.16%)
Samver,CHALLENGER,1269점,348승 291패 (54.46%)
astroboy,CHALLENGER,1260점,194승 134패 (59.15%)
건물 사이 장미,CHALLENGER,1258점,194승 147패 (56.89%)
타 잔,CHALLENGER,1256점,311승 255패 (54.95%)
Winner,CHALLENGER,1252점,149승 98패 (60.32%)
Morgan,CHALLENGER,1250점,155승 107패 (59.16%)
Ego BattIe,CHALLENGER,1250점,159승 127패 (55.59%)
y1qunsb,CHALLENGER,1250점,616승 562패 (52.29%)
kiin,CHALLENGER,1248점,182승 124패 (59.48%)
i want to pro,CHALLENGER,1247점,354승 273패 (56.46%)
대광 ,CHALLENGER,1237점,318승 254패 (55.59%)
안죽기장인,CHALLENGER,1235점,230승 174패 (56.93%)
DK Sharvel,CHALLENGER,1234점,505승 453패 (52.71%)
Chinata,CHALLENGER,1233점,433승 379패 (53.33%)
FA Kingdom,CHALLENGER,1231점,406승 346패 (53.99%)
당신은 사랑해요,CHALLENGER,1229점,410승 356패 (53.52%)
IIrrooGG,CHALLENGER,1229점,158승 96패 (62.20%)
LFT DICE,CHALLENGER,1228점,250승 191패 (56.69%)
Deft,CHALLENGER,1226점,353승 308패 (53.40%)
TolanD23,CHALLENGER,1224점,666승 620패 (51.79%)
의 주,CHALLENGER,1222점,129승 76패 (62.93%)
T1 Smash,CHALLENGER,1215점,235승 192패 (55.04%)
텐동맨,CHALLENGER,1212점,204승 153패 (57.14%)
조사병단병사1,CHALLENGER,1210점,334승 283패 (54.13%)
HamBak,CHALLENGER,1209점,202승 143패 (58.55%)
add astra,CHALLENGER,1208점,188승 131패 (58.93%)
luckyqqqq,CHALLENGER,1206점,342승 286패 (54.46%)
Zeus,CHALLENGER,1204점,226승 179패 (55.80%)
