name,tear,score,rate
허거덩,CHALLENGER,2000점,205승 131패 (61.01%)
dlwlrma22,CHALLENGER,1826점,246승 169패 (59.28%)
카 엘,CHALLENGER,1732점,236승 169패 (58.27%)
Moham,CHALLENGER,1712점,519승 439패 (54.18%)
Radiohead,CHALLENGER,1691점,378승 323패 (53.92%)
Lure,CHALLENGER,1595점,355승 279패 (55.99%)
뚱뚱이,CHALLENGER,1571점,380승 317패 (54.52%)
숟가락전사,CHALLENGER,1569점,395승 329패 (54.56%)
Arnold Hur,CHALLENGER,1567점,356승 278패 (56.15%)
어쩌라고맞짱뜰까,CHALLENGER,1557점,217승 156패 (58.18%)
BRO Hena,CHALLENGER,1535점,386승 317패 (54.91%)
qazwsxedcrfvdf,CHALLENGER,1523점,265승 196패 (57.48%)
정지훈,CHALLENGER,1520점,348승 280패 (55.41%)
nikett,CHALLENGER,1516점,386승 280패 (57.96%)
Rooster,CHALLENGER,1505점,329승 261패 (55.76%)
Karis,CHALLENGER,1505점,313승 257패 (54.91%)
HamBak,CHALLENGER,1498점,273승 203패 (57.35%)
Way,CHALLENGER,1485점,268승 219패 (55.03%)
Kingen,CHALLENGER,1470점,340승 276패 (55.19%)
XiaoHao,CHALLENGER,1466점,224승 143패 (61.04%)
Azhy,CHALLENGER,1462점,245승 184패 (57.11%)
안죽기장인,CHALLENGER,1449점,200승 139패 (59.00%)
NS Callme,CHALLENGER,1448점,447승 387패 (53.60%)
윤용호,CHALLENGER,1439점,301승 236패 (56.05%)
hwa i tings,CHALLENGER,1427점,590승 530패 (52.68%)
DK Lucid,CHALLENGER,1421점,279승 225패 (55.36%)
관 모,CHALLENGER,1414점,562승 511패 (52.38%)
Minous,CHALLENGER,1410점,298승 238패 (55.60%)
읽씹맨,CHALLENGER,1402점,455승 391패 (53.78%)
플레이리스트겨울,CHALLENGER,1401점,265승 217패 (54.98%)
불 독,CHALLENGER,1396점,177승 115패 (60.62%)
태 윤,CHALLENGER,1392점,308승 253패 (54.90%)
Effort,CHALLENGER,1386점,240승 193패 (55.43%)
Quad,CHALLENGER,1369점,291승 212패 (57.85%)
ShowMaker,CHALLENGER,1356점,220승 171패 (56.27%)
livinli,CHALLENGER,1353점,187승 118패 (61.31%)
Samver,CHALLENGER,1349점,292승 230패 (55.94%)
kiin,CHALLENGER,1334점,179승 124패 (59.08%)
HamBak,CHALLENGER,1330점,201승 137패 (59.47%)
homem aranha,CHALLENGER,1319점,198승 141패 (58.41%)
K love Jiao,CHALLENGER,1318점,258승 200패 (56.33%)
노장 두티,CHALLENGER,1316점,247승 192패 (56.26%)
jinyuhuahuo,CHALLENGER,1315점,357승 296패 (54.67%)
Hype,CHALLENGER,1309점,268승 214패 (55.60%)
Winner,CHALLENGER,1303점,149승 96패 (60.82%)
Burdol,CHALLENGER,1300점,225승 161패 (58.29%)
강성인,CHALLENGER,1292점,290승 237패 (55.03%)
따봉 람머스,CHALLENGER,1290점,250승 199패 (55.68%)
광연44,CHALLENGER,1289점,155승 85패 (64.58%)
나 비,CHALLENGER,1288점,234승 183패 (56.12%)
C9 Berserker,CHALLENGER,1286점,197승 130패 (60.24%)
건물 사이 장미,CHALLENGER,1283점,193승 144패 (57.27%)
Shadow Nia,CHALLENGER,1281점,202승 135패 (59.94%)
xycg,CHALLENGER,1280점,409승 351패 (53.82%)
astroboy,CHALLENGER,1260점,194승 134패 (59.15%)
DK Sharvel,CHALLENGER,1259점,505승 452패 (52.77%)
Deft,CHALLENGER,1258점,323승 274패 (54.10%)
T1 Smash,CHALLENGER,1243점,228승 185패 (55.21%)
meiyouzixin,CHALLENGER,1242점,647승 589패 (52.35%)
쪼렙이다말로하자,CHALLENGER,1238점,269승 226패 (54.34%)
luckyqqqq,CHALLENGER,1234점,318승 266패 (54.45%)
Ilumiss,CHALLENGER,1233점,272승 207패 (56.78%)
당신은 사랑해요,CHALLENGER,1229점,410승 356패 (53.52%)
머루포도포도,CHALLENGER,1227점,222승 163패 (57.66%)
i want to pro,CHALLENGER,1226점,353승 273패 (56.39%)
gougoujingzhang,CHALLENGER,1224점,345승 293패 (54.08%)
타 잔,CHALLENGER,1222점,295승 242패 (54.93%)
타 잔,CHALLENGER,1221점,283승 228패 (55.38%)
HLE Loki,CHALLENGER,1218점,436승 388패 (52.91%)
123156466,CHALLENGER,1216점,209승 156패 (57.26%)
Chinata,CHALLENGER,1213점,432승 379패 (53.27%)
