name,tear,rate,score
허거덩,CHALLENGER,205승 129패 (61.38%),2051점
dlwlrma22,CHALLENGER,244승 168패 (59.22%),1808점
카 엘,CHALLENGER,234승 168패 (58.21%),1717점
Radiohead,CHALLENGER,378승 323패 (53.92%),1691점
Moham,CHALLENGER,515승 437패 (54.10%),1656점
BRO Hena,CHALLENGER,384승 311패 (55.25%),1647점
Arnold Hur,CHALLENGER,356승 273패 (56.60%),1647점
숟가락전사,CHALLENGER,391승 323패 (54.76%),1629점
Lure,CHALLENGER,355승 279패 (55.99%),1595점
뚱뚱이,CHALLENGER,380승 317패 (54.52%),1571점
어쩌라고맞짱뜰까,CHALLENGER,217승 156패 (58.18%),1557점
qazwsxedcrfvdf,CHALLENGER,265승 194패 (57.73%),1549점
정지훈,CHALLENGER,348승 280패 (55.41%),1520점
nikett,CHALLENGER,381승 278패 (57.81%),1511점
Rooster,CHALLENGER,329승 261패 (55.76%),1505점
Karis,CHALLENGER,313승 257패 (54.91%),1505점
자색고구마괴물,CHALLENGER,200승 139패 (59.00%),1484점
Kingen,CHALLENGER,339승 275패 (55.21%),1482점
윤용호,CHALLENGER,300승 235패 (56.07%),1474점
Way,CHALLENGER,265승 218패 (54.87%),1472점
DK Lucid,CHALLENGER,279승 223패 (55.58%),1468점
번뇌를 잊다,CHALLENGER,224승 143패 (61.04%),1466점
NS Callme,CHALLENGER,447승 387패 (53.60%),1448점
Effort,CHALLENGER,238승 189패 (55.74%),1445점
Minous,CHALLENGER,298승 238패 (55.60%),1410점
Azhy,CHALLENGER,242승 184패 (56.81%),1405점
읽씹맨,CHALLENGER,455승 391패 (53.78%),1402점
불 독,CHALLENGER,177승 115패 (60.62%),1396점
태 윤,CHALLENGER,308승 253패 (54.90%),1392점
HamBak,CHALLENGER,268승 203패 (56.90%),1391점
xycg,CHALLENGER,407승 347패 (53.98%),1378점
kiin,CHALLENGER,179승 123패 (59.27%),1358점
ShowMaker,CHALLENGER,220승 171패 (56.27%),1356점
livinli,CHALLENGER,187승 118패 (61.31%),1353점
Quad,CHALLENGER,290승 212패 (57.77%),1348점
플레이리스트겨울,CHALLENGER,262승 216패 (54.81%),1332점
관 모,CHALLENGER,561승 511패 (52.33%),1330점
HamBak,CHALLENGER,201승 137패 (59.47%),1330점
Samver,CHALLENGER,290승 230패 (55.77%),1328점
K love Jiao,CHALLENGER,258승 200패 (56.33%),1324점
jinyuhuahuo,CHALLENGER,355승 295패 (54.62%),1319점
노장 두티,CHALLENGER,247승 192패 (56.26%),1316점
Hype,CHALLENGER,268승 214패 (55.60%),1309점
meiyouzixin,CHALLENGER,638승 579패 (52.42%),1303점
Winner,CHALLENGER,149승 96패 (60.82%),1303점
Burdol,CHALLENGER,225승 161패 (58.29%),1300점
쪼렙이다말로하자,CHALLENGER,269승 223패 (54.67%),1299점
강성인,CHALLENGER,289승 237패 (54.94%),1292점
따봉 람머스,CHALLENGER,250승 199패 (55.68%),1290점
나 비,CHALLENGER,234승 183패 (56.12%),1288점
C9 Berserker,CHALLENGER,197승 130패 (60.24%),1286점
Shadow Nia,CHALLENGER,202승 135패 (59.94%),1281점
homem aranha,CHALLENGER,197승 138패 (58.81%),1276점
광연44,CHALLENGER,153승 84패 (64.56%),1272점
건물 사이 장미,CHALLENGER,191승 144패 (57.01%),1262점
astroboy,CHALLENGER,194승 134패 (59.15%),1260점
DK Sharvel,CHALLENGER,505승 452패 (52.77%),1259점
타 잔,CHALLENGER,289승 236패 (55.05%),1258점
hwa i tings,CHALLENGER,575승 523패 (52.37%),1253점
Deft,CHALLENGER,320승 271패 (54.15%),1249점
T1 Smash,CHALLENGER,228승 185패 (55.21%),1243점
Ilumiss,CHALLENGER,272승 207패 (56.78%),1233점
머루포도포도,CHALLENGER,222승 163패 (57.66%),1227점
i want to pro,CHALLENGER,353승 273패 (56.39%),1226점
gougoujingzhang,CHALLENGER,343승 293패 (53.93%),1226점
luckyqqqq,CHALLENGER,312승 259패 (54.64%),1221점
123156466,CHALLENGER,209승 156패 (57.26%),1216점
Chinata,CHALLENGER,432승 379패 (53.27%),1213점
Oner,CHALLENGER,193승 147패 (56.76%),1209점
Wo xing li,CHALLENGER,289승 221패 (56.67%),1208점
xiayoujie,CHALLENGER,282승 225패 (55.62%),1206점
Aileri,CHALLENGER,269승 223패 (54.67%),1206점
당신은 사랑해요,CHALLENGER,407승 356패 (53.34%),1205점
Zeus,CHALLENGER,226승 179패 (55.80%),1204점
hanni fans,CHALLENGER,129승 56패 (69.73%),1196점
IIrrooGG,CHALLENGER,154승 94패 (62.10%),1196점
HyeonJu,CHALLENGER,242승 195패 (55.38%),1195점
Rich,CHALLENGER,153승 102패 (60.00%),1192점
Bae Suzy,CHALLENGER,280승 238패 (54.05%),1191점
Cold,CHALLENGER,140승 94패 (59.83%),1189점
대광 ,CHALLENGER,299승 238패 (55.68%),1188점
God Thunder,CHALLENGER,523승 476패 (52.35%),1186점
Ego BattIe,CHALLENGER,158승 126패 (55.63%),1184점
jxqad7out6,CHALLENGER,273승 222패 (55.15%),1179점
신이 되는 길요,CHALLENGER,355승 265패 (57.26%),1174점
FA Smlz,CHALLENGER,379승 333패 (53.23%),1173점
HLE Loki,CHALLENGER,434승 388패 (52.80%),1173점
모든것을극한으로,CHALLENGER,310승 244패 (55.96%),1172점
add astra,CHALLENGER,185승 130패 (58.73%),1170점
으끄으끄,CHALLENGER,326승 269패 (54.79%),1169점
키보드에음료쏟아서고장내는이도윤,CHALLENGER,244승 197패 (55.33%),1168점
호떡붕어빵,CHALLENGER,184승 137패 (57.32%),1165점
Blaber,CHALLENGER,301승 260패 (53.65%),1164점
DRX Juhana,CHALLENGER,576승 527패 (52.22%),1164점
oljjlrpajkzqzxjy,CHALLENGER,312승 268패 (53.79%),1161점
Permaban12542116,CHALLENGER,228승 184패 (55.34%),1158점
타 잔,CHALLENGER,278승 227패 (55.05%),1158점
300warriors,CHALLENGER,428승 364패 (54.04%),1153점
라 코,CHALLENGER,217승 176패 (55.22%),1144점
Guo m1e na sai ,CHALLENGER,236승 187패 (55.79%),1143점
추요정,CHALLENGER,113승 63패 (64.20%),1141점
DRX kyeahoo,CHALLENGER,360승 309패 (53.81%),1138점
텐동맨,CHALLENGER,193승 146패 (56.93%),1136점
Morgan,CHALLENGER,143승 99패 (59.09%),1134점
raptor,CHALLENGER,419승 367패 (53.31%),1127점
Morgan,CHALLENGER,188승 146패 (56.29%),1127점
