name,tear,score,rate
허거덩,CHALLENGER,1946점,206승 134패 (60.59%)
dlwlrma22,CHALLENGER,1891점,274승 193패 (58.67%)
카 엘,CHALLENGER,1809점,245승 173패 (58.61%)
Radiohead,CHALLENGER,1741점,383승 325패 (54.10%)
Moham,CHALLENGER,1719점,530승 449패 (54.14%)
Karis,CHALLENGER,1625점,322승 260패 (55.33%)
윤용호,CHALLENGER,1618점,325승 250패 (56.52%)
어쩌라고맞짱뜰까,CHALLENGER,1618점,221승 157패 (58.47%)
불 독,CHALLENGER,1617점,196승 124패 (61.25%)
XiaoHao,CHALLENGER,1609점,237승 148패 (61.56%)
정지훈,CHALLENGER,1606점,366승 291패 (55.71%)
뚱뚱이,CHALLENGER,1571점,380승 317패 (54.52%)
Lure,CHALLENGER,1550점,373승 296패 (55.75%)
qazwsxedcrfvdf,CHALLENGER,1528점,276승 205패 (57.38%)
xycg,CHALLENGER,1513점,427승 359패 (54.33%)
HamBak,CHALLENGER,1502점,308승 235패 (56.72%)
숟가락전사,CHALLENGER,1502점,405승 341패 (54.29%)
NS Callme,CHALLENGER,1493점,467승 404패 (53.62%)
플레이리스트겨울,CHALLENGER,1483점,290승 234패 (55.34%)
nikett,CHALLENGER,1468점,408승 303패 (57.38%)
관 모,CHALLENGER,1462점,575승 518패 (52.61%)
hwa i tings,CHALLENGER,1458점,615승 553패 (52.65%)
Arnold Hur,CHALLENGER,1446점,371승 295패 (55.71%)
밤이싫어,CHALLENGER,1439점,409승 341패 (54.53%)
읽씹맨,CHALLENGER,1394점,457승 393패 (53.76%)
태 윤,CHALLENGER,1392점,308승 253패 (54.90%)
Azhy,CHALLENGER,1392점,257승 197패 (56.61%)
Way,CHALLENGER,1391점,298승 252패 (54.18%)
노장 두티,CHALLENGER,1381점,254승 195패 (56.57%)
homem aranha,CHALLENGER,1381점,221승 162패 (57.70%)
Samver,CHALLENGER,1380점,296승 232패 (56.06%)
Minous,CHALLENGER,1378점,304승 244패 (55.47%)
livinli,CHALLENGER,1371점,202승 131패 (60.66%)
gougoujingzhang,CHALLENGER,1365점,353승 296패 (54.39%)
Effort,CHALLENGER,1359점,241승 195패 (55.28%)
ShowMaker,CHALLENGER,1356점,220승 171패 (56.27%)
르세라핌 정훈,CHALLENGER,1352점,172승 100패 (63.24%)
Quad,CHALLENGER,1347점,292승 214패 (57.71%)
광연44,CHALLENGER,1347점,163승 89패 (64.68%)
안죽기장인,CHALLENGER,1339점,238승 178패 (57.21%)
Kingen,CHALLENGER,1339점,348승 289패 (54.63%)
HLE Life Esports,CHALLENGER,1320점,269승 217패 (55.35%)
luckyqqqq,CHALLENGER,1320점,349승 289패 (54.70%)
따봉 람머스,CHALLENGER,1317점,254승 200패 (55.95%)
Burdol,CHALLENGER,1316점,226승 161패 (58.40%)
DK Lucid,CHALLENGER,1315점,289승 240패 (54.63%)
jinyuhuahuo,CHALLENGER,1314점,370승 309패 (54.49%)
Samver,CHALLENGER,1314점,351승 293패 (54.50%)
Blue Oasis,CHALLENGER,1307점,178승 141패 (55.80%)
나 비,CHALLENGER,1300점,247승 195패 (55.88%)
LFT DICE,CHALLENGER,1292점,254승 192패 (56.95%)
Rooster,CHALLENGER,1291점,368승 302패 (54.93%)
Sad mood,CHALLENGER,1282점,228승 174패 (56.72%)
의 주,CHALLENGER,1274점,131승 76패 (63.29%)
따붕 람미스,CHALLENGER,1273점,278승 217패 (56.16%)
Ego BattIe,CHALLENGER,1272점,163승 127패 (56.21%)
Winner,CHALLENGER,1272점,150승 98패 (60.48%)
조사병단병사1,CHALLENGER,1272점,340승 284패 (54.49%)
강성인,CHALLENGER,1262점,292승 240패 (54.89%)
astroboy,CHALLENGER,1260점,194승 134패 (59.15%)
건물 사이 장미,CHALLENGER,1258점,194승 147패 (56.89%)
Morgan,CHALLENGER,1245점,156승 107패 (59.32%)
DRX,CHALLENGER,1243점,392승 340패 (53.55%)
HamBak,CHALLENGER,1241점,206승 145패 (58.69%)
DK Sharvel,CHALLENGER,1234점,505승 453패 (52.71%)
Chinata,CHALLENGER,1233점,433승 379패 (53.33%)
타 잔,CHALLENGER,1232점,311승 255패 (54.95%)
당신은 사랑해요,CHALLENGER,1229점,410승 356패 (53.52%)
IIrrooGG,CHALLENGER,1229점,158승 96패 (62.20%)
TolanD23,CHALLENGER,1224점,666승 620패 (51.79%)
