name,tear,score,rate
dlwlrma22,C,"1,938 LP",284승 284패 58.8%
허거덩,C,"1,919 LP",206승 206패 60.4%
카 엘,C,"1,837 LP",255승 255패 58.6%
Radiohead,C,"1,752 LP",385승 385패 54.2%
Moham,C,"1,719 LP",530승 530패 54.1%
XiaoHao,C,"1,708 LP",245승 245패 61.9%
어쩌라고맞짱뜰까,C,"1,681 LP",224승 224패 58.8%
윤용호,C,"1,680 LP",332승 332패 56.8%
정지훈,C,"1,666 LP",374승 374패 55.9%
Karis,C,"1,625 LP",322승 322패 55.3%
뚱뚱이,C,"1,571 LP",380승 380패 54.5%
nikett,C,"1,564 LP",415승 415패 57.4%
xycg,C,"1,536 LP",428승 428패 54.4%
qazwsxedcrfvdf,C,"1,528 LP",276승 276패 57.4%
Lure,C,"1,516 LP",375승 375패 55.6%
숟가락전사,C,"1,502 LP",405승 405패 54.3%
HamBak,C,"1,502 LP",308승 308패 56.7%
NS Callme,C,"1,487 LP",472승 472패 53.6%
hwa i tings,C,"1,482 LP",622승 622패 52.7%
불 독,C,"1,474 LP",200승 200패 60.1%
읽씹맨,C,"1,451 LP",461승 461패 53.9%
Arnold Hur,C,"1,446 LP",371승 371패 55.7%
Azhy,C,"1,402 LP",267승 267패 56.6%
르세라핌 정훈,C,"1,393 LP",175승 175패 63.2%
ShowMaker,C,"1,376 LP",221승 221패 56.4%
노장 두티,C,"1,374 LP",255승 255패 56.5%
livinli,C,"1,371 LP",204승 204패 60.7%
Way,C,"1,366 LP",299승 299패 54.1%
태 윤,C,"1,361 LP",314승 314패 54.7%
Effort,C,"1,359 LP",241승 241패 55.3%
Samver,C,"1,355 LP",301승 301패 55.9%
광연44,C,"1,347 LP",163승 163패 64.4%
Quad,C,"1,347 LP",292승 292패 57.7%
Minous,C,"1,343 LP",306승 306패 55.3%
Kingen,C,"1,339 LP",348승 348패 54.6%
관 모,C,"1,336 LP",578승 578패 52.4%
Rooster,C,"1,330 LP",370승 370패 55.1%
플레이리스트겨울,C,"1,329 LP",296승 296패 54.7%
DK Lucid,C,"1,329 LP",293승 293패 54.8%
강성인,C,"1,324 LP",295승 295패 55.1%
안죽기장인,C,"1,318 LP",253승 253패 57.0%
나 비,C,"1,317 LP",249승 249패 56.0%
Samver,C,"1,314 LP",352승 352패 54.6%
jinyuhuahuo,C,"1,314 LP",369승 369패 54.3%
Winner,C,"1,311 LP",152승 152패 60.8%
Blue Oasis,C,"1,307 LP",178승 178패 55.6%
DRX,C,"1,306 LP",400승 400패 53.5%
gougoujingzhang,C,"1,293 LP",353승 353패 54.1%
따붕 람미스,C,"1,289 LP",281승 281패 56.2%
Mofuweizhen,C,"1,286 LP",227승 227패 58.2%
따봉 람머스,C,"1,285 LP",254승 254패 55.7%
LFT DICE,C,"1,272 LP",259승 259패 56.8%
homem aranha,C,"1,269 LP",224승 224패 57.1%
밤이싫어,C,"1,263 LP",411승 411패 54.0%
astroboy,C,"1,260 LP",194승 194패 59.1%
HamBak,C,"1,259 LP",208승 208패 58.6%
luckyqqqq,C,"1,258 LP",358승 358패 54.7%
i want to pro,C,"1,256 LP",358승 358패 56.4%
조사병단병사1,C,"1,253 LP",348승 348패 54.5%
Ego BattIe,C,"1,248 LP",163승 163패 55.8%
Morgan,C,"1,245 LP",156승 156패 59.3%
FA Kingdom,C,"1,245 LP",411승 411패 54.0%
Sad mood,C,"1,242 LP",229승 229패 56.4%
xiayoujie,C,"1,237 LP",311승 311패 55.3%
DK Sharvel,C,"1,234 LP",505승 505패 52.7%
Chinata,C,"1,233 LP",432승 432패 53.3%
당신은 사랑해요,C,"1,229 LP",410승 410패 53.5%
IIrrooGG,C,"1,229 LP",158승 158패 62.0%
텐동맨,C,"1,228 LP",206승 206패 57.2%
대광 ,C,"1,228 LP",330승 330패 55.4%
zpzG,C,"1,228 LP",254승 254패 57.3%
HLE Life Esports,C,"1,224 LP",269승 269패 54.9%
T1 Smash,C,"1,215 LP",235승 235패 55.0%
DRX kyeahoo,C,"1,214 LP",397승 397패 53.4%
Cloud,C,"1,204 LP",730승 730패 51.9%
건물 사이 장미,C,"1,201 LP",199승 199패 56.4%
누누와 윌럼프,C,"1,200 LP",137승 137패 64.6%
의 주,C,"1,196 LP",132승 132패 62.0%
TolanD23,C,"1,194 LP",668승 668패 51.7%
Rich,C,"1,192 LP",153승 153패 60.0%
HyeonJu,C,"1,190 LP",245승 245패 55.3%
Guo m1e na sai ,C,"1,188 LP",244승 244패 55.8%
타 잔,C,"1,187 LP",290승 290패 55.0%
C9 Berserker,C,"1,187 LP",198승 198패 59.5%
add astra,C,"1,177 LP",189승 189패 58.9%
호떡붕어빵,C,"1,175 LP",201승 201패 56.8%
Hype,C,"1,175 LP",291승 291패 55.1%
Morgan,C,"1,175 LP",220승 220패 56.4%
kiin,C,"1,172 LP",187승 187패 59.7%
키보드에음료쏟아서고장내는이도윤,C,"1,168 LP",244승 244패 55.3%
모든것을극한으로,C,"1,159 LP",329승 329패 55.7%
123156466,C,"1,159 LP",215승 215패 56.6%
Bad End,C,"1,158 LP",425승 425패 53.3%
y1qunsb,C,"1,157 LP",640승 640패 52.2%
Aileri,C,"1,156 LP",275승 275패 54.5%
신이 되는 길요,C,"1,150 LP",364승 364패 57.1%
Blaber,C,"1,148 LP",305승 305패 53.6%
DK Thanatos,C,"1,147 LP",256승 256패 56.1%
Exusia,C,"1,139 LP",663승 663패 52.1%
raptor,C,"1,138 LP",428승 428패 53.3%
subintnqls06,C,"1,131 LP",188승 188패 58.0%
