name,tear,rate,score
댕청잇,CHALLENGER,251승 159패 (61.22%),1906점
DK Lucid,CHALLENGER,430승 361패 (54.36%),1693점
wutian,CHALLENGER,237승 168패 (58.52%),1637점
GOOD GAME GG XD,CHALLENGER,220승 143패 (60.61%),1599점
asdjipadsjip,CHALLENGER,317승 252패 (55.71%),1585점
kiin,CHALLENGER,204승 138패 (59.65%),1572점
BRO Effort,CHALLENGER,269승 205패 (56.75%),1569점
naiyoubaby,CHALLENGER,449승 382패 (54.03%),1567점
건물 사이 장미,CHALLENGER,288승 219패 (56.80%),1563점
Morgan,CHALLENGER,228승 142패 (61.62%),1556점
경로당홍삼캔디훔쳐먹는김건,CHALLENGER,240승 161패 (59.85%),1555점
Ljlrpajkklxwfc,CHALLENGER,178승 120패 (59.73%),1501점
KT Castle,CHALLENGER,475승 423패 (52.90%),1493점
pdx3,CHALLENGER,184승 98패 (65.25%),1491점
어떤 이의 꿈,CHALLENGER,239승 187패 (56.10%),1489점
날씨이상해,CHALLENGER,334승 267패 (55.57%),1488점
농심라면다내꺼야,CHALLENGER,515승 453패 (53.20%),1485점
오늘보다내일의너,CHALLENGER,257승 193패 (57.11%),1483점
Chu성훈,CHALLENGER,417승 353패 (54.16%),1481점
viper3,CHALLENGER,236승 173패 (57.70%),1481점
Seven,CHALLENGER,128승 62패 (67.37%),1479점
이기고싶댜아,CHALLENGER,423승 360패 (54.02%),1463점
으끄으끄,CHALLENGER,378승 317패 (54.39%),1460점
LSB CIozer,CHALLENGER,358승 276패 (56.47%),1454점
BRO Morgan,CHALLENGER,323승 262패 (55.21%),1452점
라면이 맛있다,CHALLENGER,350승 244패 (58.92%),1445점
살퀸레,CHALLENGER,735승 658패 (52.76%),1435점
Cuzz,CHALLENGER,179승 120패 (59.87%),1431점
dlwlrma22,CHALLENGER,311승 252패 (55.24%),1430점
Aileri,CHALLENGER,236승 172패 (57.84%),1409점
Indexy,CHALLENGER,451승 392패 (53.50%),1408점
drx3,CHALLENGER,381승 319패 (54.43%),1385점
NS Callme,CHALLENGER,322승 269패 (54.48%),1364점
QWE1234Q,CHALLENGER,276승 202패 (57.74%),1364점
호시노 칸나,CHALLENGER,370승 304패 (54.90%),1355점
BBBBBBBBBBulldog,CHALLENGER,381승 325패 (53.97%),1350점
xxxxlululu,CHALLENGER,499승 443패 (52.97%),1349점
KT Way,CHALLENGER,340승 281패 (54.75%),1339점
qweasdcxz,CHALLENGER,289승 211패 (57.80%),1336점
Quad,CHALLENGER,361승 310패 (53.80%),1321점
그라가스할래요,CHALLENGER,330승 254패 (56.51%),1319점
SnowFlow2r,CHALLENGER,305승 240패 (55.96%),1315점
DRX 크로코,CHALLENGER,490승 429패 (53.32%),1308점
산기슭곰발인,CHALLENGER,701승 644패 (52.12%),1307점
농심 콜미,CHALLENGER,262승 210패 (55.51%),1305점
사랑해 문채은,CHALLENGER,174승 122패 (58.78%),1305점
Radiohead,CHALLENGER,226승 176패 (56.22%),1301점
naifangzi,CHALLENGER,220승 147패 (59.95%),1299점
앙 맛있엉,CHALLENGER,344승 291패 (54.17%),1294점
KDF 태윤,CHALLENGER,247승 199패 (55.38%),1289점
dndhkrrne,CHALLENGER,169승 127패 (57.09%),1286점
호시노 로컨,CHALLENGER,301승 238패 (55.84%),1286점
소년가장 원딜,CHALLENGER,376승 327패 (53.49%),1279점
바보 태윤,CHALLENGER,217승 148패 (59.45%),1277점
BRO Karis,CHALLENGER,257승 205패 (55.63%),1275점
키보드에음료쏟아서고장내는이도윤,CHALLENGER,336승 282패 (54.37%),1266점
카와이 뽀시,CHALLENGER,231승 158패 (59.38%),1263점
JUGKlNG,CHALLENGER,190승 142패 (57.23%),1261점
아이러니,CHALLENGER,242승 194패 (55.50%),1259점
씨맥당신은틀렸어,CHALLENGER,512승 459패 (52.73%),1254점
DRXGN,CHALLENGER,268승 209패 (56.18%),1254점
어쩌라고맞짱뜰까,CHALLENGER,339승 292패 (53.72%),1251점
DRX Juhana,CHALLENGER,465승 403패 (53.57%),1250점
Rose bloomforyou,CHALLENGER,313승 250패 (55.60%),1244점
스물다섯번째밤,CHALLENGER,287승 226패 (55.95%),1239점
이토시이 뽀시,CHALLENGER,556승 497패 (52.80%),1233점
예아예아예에아,CHALLENGER,248승 177패 (58.35%),1232점
킬러톱,CHALLENGER,403승 346패 (53.81%),1226점
jin xin jiang,CHALLENGER,429승 348패 (55.21%),1223점
KDF 영재,CHALLENGER,236승 187패 (55.79%),1220점
우승을 차지하다,CHALLENGER,545승 483패 (53.02%),1218점
렐서폿,CHALLENGER,156승 108패 (59.09%),1217점
YCLYC,CHALLENGER,528승 469패 (52.96%),1216점
아이린,CHALLENGER,266승 212패 (55.65%),1215점
TwitchTV Migung,CHALLENGER,507승 446패 (53.20%),1215점
명치에팔콘펀치꽂는이도윤,CHALLENGER,352승 303패 (53.74%),1214점
luck dog,CHALLENGER,343승 286패 (54.53%),1213점
ltdo,CHALLENGER,337승 287패 (54.01%),1196점
언니우기,CHALLENGER,279승 233패 (54.49%),1196점
hei si yyds,CHALLENGER,295승 238패 (55.35%),1195점
좋은하루좋은아침,CHALLENGER,432승 384패 (52.94%),1195점
Bae Suzy,CHALLENGER,461승 416패 (52.57%),1193점
정흠이,CHALLENGER,246승 193패 (56.04%),1189점
cure heart,CHALLENGER,177승 97패 (64.60%),1189점
BRO UmTi,CHALLENGER,274승 224패 (55.02%),1188점
B0NN1E,CHALLENGER,528승 473패 (52.75%),1185점
