name,tear,rate,score
FIORAKlNG,CHALLENGER,221승 169패 (56.67%),1184점
ppapdd,CHALLENGER,404승 348패 (53.72%),1183점
dlrlwkdk,CHALLENGER,338승 287패 (54.08%),1183점
미안한데어쩌라고,CHALLENGER,436승 370패 (54.09%),1182점
밥먹고왔습니다,CHALLENGER,361승 297패 (54.86%),1182점
Dhorreur,CHALLENGER,296승 232패 (56.06%),1175점
Xbm,CHALLENGER,151승 103패 (59.45%),1174점
DK Rahel,CHALLENGER,413승 362패 (53.29%),1171점
xiaofangOWO,CHALLENGER,493승 376패 (56.73%),1167점
gmawjdgks,CHALLENGER,538승 494패 (52.13%),1163점
바쁘게 살아용,CHALLENGER,679승 616패 (52.43%),1161점
how can win,CHALLENGER,249승 181패 (57.91%),1161점
haiyaonuli,CHALLENGER,329승 242패 (57.62%),1160점
얼밤불밤,CHALLENGER,178승 117패 (60.34%),1160점
SLOW Shiba64,CHALLENGER,129승 79패 (62.02%),1159점
자신감을잃지말자,CHALLENGER,491승 441패 (52.68%),1154점
pft,CHALLENGER,522승 480패 (52.10%),1154점
NS Jiwoo,CHALLENGER,508승 447패 (53.19%),1153점
짜증이 잔뜩남,CHALLENGER,127승 80패 (61.35%),1153점
GCA NoRoo,CHALLENGER,259승 191패 (57.56%),1151점
칼과 창 방패,CHALLENGER,313승 266패 (54.06%),1148점
DEL_1841064655193909516,CHALLENGER,625승 569패 (52.35%),1146점
KDF1,CHALLENGER,436승 381패 (53.37%),1143점
skdmlwlsjd,CHALLENGER,203승 141패 (59.01%),1143점
길가다가까까사달라고조르는이도윤,CHALLENGER,292승 246패 (54.28%),1142점
광주충장파,CHALLENGER,274승 160패 (63.13%),1142점
Jett7,CHALLENGER,772승 724패 (51.60%),1142점
야생의 거북이,CHALLENGER,327승 266패 (55.14%),1141점
Gen G Zest,CHALLENGER,543승 496패 (52.26%),1141점
cadianNN,CHALLENGER,307승 236패 (56.54%),1140점
drx4,CHALLENGER,189승 137패 (57.98%),1136점
아닌건아닌거잖아,CHALLENGER,500승 452패 (52.52%),1135점
FA ady,CHALLENGER,771승 713패 (51.95%),1135점
햄쥐의 볼주머니,CHALLENGER,218승 170패 (56.19%),1131점
hwa i tings,CHALLENGER,587승 539패 (52.13%),1129점
BRO Pollu,CHALLENGER,549승 486패 (53.04%),1128점
HLE Tempester,CHALLENGER,251승 199패 (55.78%),1126점
이 차가 식기전에,CHALLENGER,558승 508패 (52.35%),1126점
푸른 갈대,CHALLENGER,591승 540패 (52.25%),1126점
아브레,CHALLENGER,358승 323패 (52.57%),1124점
타 잔,CHALLENGER,341승 303패 (52.95%),1121점
원장 강승희,CHALLENGER,111승 77패 (59.04%),1120점
모든일은같이,CHALLENGER,239승 168패 (58.72%),1118점
zuihaodeanpai,CHALLENGER,297승 236패 (55.72%),1116점
거북이 길들이기,CHALLENGER,317승 257패 (55.23%),1116점
망고팀 MID,CHALLENGER,274승 229패 (54.47%),1116점
답답해서네가뛴다,CHALLENGER,182승 125패 (59.28%),1112점
San Ni Ichi,CHALLENGER,159승 108패 (59.55%),1109점
모래상자,CHALLENGER,340승 286패 (54.31%),1107점
나도행복롤시켜줘,CHALLENGER,267승 226패 (54.16%),1106점
죽림초,CHALLENGER,430승 383패 (52.89%),1104점
최애의 Ai Bun,CHALLENGER,221승 170패 (56.52%),1102점
jiaqi3,CHALLENGER,278승 250패 (52.65%),1101점
zczzczzcxzz,CHALLENGER,237승 155패 (60.46%),1099점
mingcrispmeiko,CHALLENGER,281승 237패 (54.25%),1095점
keaikeai,CHALLENGER,622승 585패 (51.53%),1094점
마인크래트프,CHALLENGER,286승 240패 (54.37%),1094점
T1 Smash1,CHALLENGER,155승 117패 (56.99%),1093점
imokayy,CHALLENGER,203승 151패 (57.34%),1089점
DRX B2ryL,CHALLENGER,194승 144패 (57.40%),1087점
아잉츄 사랑해,CHALLENGER,231승 184패 (55.66%),1087점
미니웅즈,CHALLENGER,488승 442패 (52.47%),1086점
asdsgasdfgx,CHALLENGER,276승 220패 (55.65%),1086점
카니발 갱,CHALLENGER,597승 570패 (51.16%),1085점
Gen G Seeder,CHALLENGER,310승 264패 (54.01%),1085점
Like Jiao,CHALLENGER,255승 183패 (58.22%),1084점
속으로숫자를세라,CHALLENGER,769승 719패 (51.68%),1078점
지지 않는 모란,CHALLENGER,603승 549패 (52.34%),1076점
DENGLONGMEN,CHALLENGER,262승 216패 (54.81%),1076점
NEED HER,CHALLENGER,260승 211패 (55.20%),1075점
아예아예아예에,CHALLENGER,768승 703패 (52.21%),1073점
트위치 이렐장군,CHALLENGER,408승 371패 (52.37%),1072점
YILUDA,CHALLENGER,222승 150패 (59.68%),1071점
뇌 녹 사,CHALLENGER,484승 434패 (52.72%),1071점
sywnxaiusdnq,CHALLENGER,367승 309패 (54.29%),1070점
2002 FA,CHALLENGER,245승 184패 (57.11%),1070점
GOMBUNNY,CHALLENGER,182승 135패 (57.41%),1068점
KWANGDONG,CHALLENGER,364승 320패 (53.22%),1067점
02Fay,CHALLENGER,366승 289패 (55.88%),1066점
DRXVIICHAN,CHALLENGER,625승 572패 (52.21%),1066점
Lumen AD,CHALLENGER,128승 82패 (60.95%),1064점
shuidajiao,CHALLENGER,216승 161패 (57.29%),1063점
Som is cute,CHALLENGER,257승 205패 (55.63%),1062점
 wxzsr,CHALLENGER,275승 217패 (55.89%),1061점
neso,CHALLENGER,463승 409패 (53.10%),1059점
쿠키팀 원딜,CHALLENGER,346승 285패 (54.83%),1059점
쪼렙이다말로하자,CHALLENGER,546승 500패 (52.20%),1059점
샌드박스 송현민,CHALLENGER,228승 189패 (54.68%),1058점
가던 길이나 가,CHALLENGER,181승 129패 (58.39%),1057점
otidow,CHALLENGER,250승 202패 (55.31%),1057점
스킨구걸러,CHALLENGER,226승 177패 (56.08%),1055점
Pungyeon,CHALLENGER,491승 439패 (52.80%),1055점
간디도롤하면폭력,CHALLENGER,691승 645패 (51.72%),1052점
ZED999999999,CHALLENGER,452승 400패 (53.05%),1050점
반오십의 희망,CHALLENGER,481승 437패 (52.40%),1049점
zangaihuashao,CHALLENGER,318승 253패 (55.69%),1046점
강할수록짖지않아,CHALLENGER,261승 209패 (55.53%),1042점
얌얌얌냠냠얌얌얌,CHALLENGER,260승 208패 (55.56%),1038점
RoarTHEBEAST,CHALLENGER,444승 351패 (55.85%),1037점
WEWEWEXXX,CHALLENGER,209승 147패 (58.71%),1037점
DRX Crush,CHALLENGER,220승 165패 (57.14%),1037점
NS CaIIme,CHALLENGER,304승 248패 (55.07%),1036점
에프피엑스,CHALLENGER,143승 87패 (62.17%),1036점
Lonelypatients,CHALLENGER,209승 177패 (54.15%),1030점
Kim Sang Hoon,CHALLENGER,383승 344패 (52.68%),1030점
eilataN,CHALLENGER,463승 421패 (52.38%),1030점
Sss1ngY,CHALLENGER,204승 146패 (58.29%),1029점
BX8KK,CHALLENGER,312승 271패 (53.52%),1028점
이보한병,CHALLENGER,350승 305패 (53.44%),1028점
DK Pullbae,CHALLENGER,473승 428패 (52.50%),1028점
afterU9,CHALLENGER,212승 152패 (58.24%),1028점
참새크면비둘기,CHALLENGER,133승 88패 (60.18%),1028점
smlz1,CHALLENGER,433승 382패 (53.13%),1027점
농심 피에스타,CHALLENGER,401승 362패 (52.56%),1027점
피그차이나,CHALLENGER,392승 348패 (52.97%),1026점
Xiang Jian Ni,CHALLENGER,348승 302패 (53.54%),1025점
T1 Nice,CHALLENGER,305승 259패 (54.08%),1025점
타 잠 의맏형,CHALLENGER,439승 367패 (54.47%),1025점
매일매일예,CHALLENGER,412승 362패 (53.23%),1024점
올차단 성장맨,CHALLENGER,532승 485패 (52.31%),1021점
숟인데요,CHALLENGER,164승 121패 (57.54%),1020점
다훈갓은 죽었어,CHALLENGER,286승 248패 (53.56%),1020점
얼굴 가슴 다리,CHALLENGER,387승 332패 (53.82%),1020점
jiaq13,CHALLENGER,323승 279패 (53.65%),1019점
Deft DK,CHALLENGER,365승 320패 (53.28%),1019점
지훈좌의프로토스,CHALLENGER,279승 230패 (54.81%),1018점
Saebyuck,CHALLENGER,426승 378패 (52.99%),1018점
십자말풀이,CHALLENGER,500승 456패 (52.30%),1018점
포지셔닝장인,CHALLENGER,197승 151패 (56.61%),1018점
cxsdw,CHALLENGER,346승 307패 (52.99%),1017점
DRX 끼얏호우,CHALLENGER,350승 310패 (53.03%),1014점
현주입니다,CHALLENGER,259승 213패 (54.87%),1013점
bababaabam,CHALLENGER,214승 176패 (54.87%),1013점
DF Roie,CHALLENGER,590승 539패 (52.26%),1013점
Naino,CHALLENGER,365승 323패 (53.05%),1012점
Cry Outt,CHALLENGER,165승 121패 (57.69%),1012점
목동 34살 최우혁,CHALLENGER,484승 429패 (53.01%),1011점
빠가사리 초 갓,CHALLENGER,189승 136패 (58.15%),1011점
알랄랄랄라알랄라,CHALLENGER,376승 331패 (53.18%),1010점
한번에깨워주세요,CHALLENGER,152승 113패 (57.36%),1008점
ouen,CHALLENGER,142승 86패 (62.28%),1006점
dajdkabfkafbak,CHALLENGER,235승 191패 (55.16%),1006점
쿨탱이,CHALLENGER,162승 122패 (57.04%),1005점
This game canwin,CHALLENGER,258승 208패 (55.36%),1005점
조관우급 늪 설치,CHALLENGER,253승 199패 (55.97%),1005점
이현 스토리,CHALLENGER,315승 260패 (54.78%),1004점
그게무슨말씀이시,CHALLENGER,528승 484패 (52.17%),1003점
Live positive,CHALLENGER,408승 365패 (52.78%),1003점
zxcvqweasd,CHALLENGER,317승 270패 (54.00%),1003점
yezy,CHALLENGER,270승 194패 (58.19%),1003점
어리고싶다,CHALLENGER,374승 332패 (52.97%),1003점
2024FMVP,CHALLENGER,175승 132패 (57.00%),1002점
udsljut7djljkjy,CHALLENGER,258승 223패 (53.64%),1002점
ADC0315,CHALLENGER,264승 179패 (59.59%),1001점
제철 전갱이 ,CHALLENGER,295승 258패 (53.35%),999점
20chuan dou pi,CHALLENGER,172승 114패 (60.14%),998점
IdentityMeltdown,CHALLENGER,305승 264패 (53.60%),995점
준밧드쳐패는놈,CHALLENGER,821승 767패 (51.70%),994점
BRO Enosh,CHALLENGER,522승 482패 (51.99%),993점
날 모함하지 마,CHALLENGER,184승 139패 (56.97%),992점
Kujo Miki,CHALLENGER,232승 181패 (56.17%),991점
qwazss,CHALLENGER,213승 166패 (56.20%),991점
DK Thanatos,CHALLENGER,517승 479패 (51.91%),990점
Court Jester,CHALLENGER,793승 737패 (51.83%),990점
Meannnnn,CHALLENGER,118승 59패 (66.67%),988점
재벌의 외아들,CHALLENGER,715승 670패 (51.62%),987점
실수는실력,CHALLENGER,557승 501패 (52.65%),987점
Fatty,CHALLENGER,215승 163패 (56.88%),986점
JaeYounge2,CHALLENGER,154승 113패 (57.68%),984점
gao qi qiang,CHALLENGER,277승 235패 (54.10%),984점
노력을 실력으로,CHALLENGER,258승 203패 (55.97%),984점
ucal,CHALLENGER,231승 192패 (54.61%),983점
baozaopiqi,CHALLENGER,485승 446패 (52.09%),982점
야 망,CHALLENGER,171승 126패 (57.58%),979점
디알엑스 파테,CHALLENGER,290승 243패 (54.41%),979점
시체지휘사,CHALLENGER,269승 225패 (54.45%),978점
na shi yu,CHALLENGER,291승 211패 (57.97%),977점
역시는역시역시네,CHALLENGER,669승 628패 (51.58%),977점
qweraszcdfgtyu,CHALLENGER,161승 122패 (56.89%),976점
babymeng,CHALLENGER,253승 201패 (55.73%),976점
kygoo,CHALLENGER,338승 291패 (53.74%),976점
ENTJ 카시,CHALLENGER,150승 105패 (58.82%),976점
huya xiaohao,CHALLENGER,178승 100패 (64.03%),975점
플루토오,CHALLENGER,170승 121패 (58.42%),975점
역천괴,CHALLENGER,323승 281패 (53.48%),975점
치즈볼마싯다,CHALLENGER,134승 99패 (57.51%),975점
UPzQ1498187796,CHALLENGER,312승 237패 (56.83%),974점
쟁구쟁구,CHALLENGER,306승 270패 (53.12%),974점
은가뉴,CHALLENGER,182승 145패 (55.66%),974점
초이통통,CHALLENGER,174승 130패 (57.24%),973점
주니어 네키,CHALLENGER,505승 467패 (51.95%),971점
열정은 식지 않아,CHALLENGER,547승 494패 (52.55%),970점
코 태,CHALLENGER,412승 378패 (52.15%),970점
jlrpajcsadcdsz,CHALLENGER,276승 203패 (57.62%),969점
limit,CHALLENGER,199승 157패 (55.90%),968점
waywode,CHALLENGER,295승 244패 (54.73%),963점
Bad End,CHALLENGER,308승 254패 (54.80%),963점
upQQ1498187796,CHALLENGER,249승 189패 (56.85%),963점
윌럼프,CHALLENGER,836승 773패 (51.96%),963점
Fzz gege,CHALLENGER,1015승 970패 (51.13%),962점
이성조,CHALLENGER,439승 404패 (52.08%),962점
xiangqi yidian,CHALLENGER,349승 302패 (53.61%),961점
kongba1,CHALLENGER,765승 715패 (51.69%),960점
진지하게 임하다,CHALLENGER,191승 138패 (58.05%),960점
Yimopwd,CHALLENGER,386승 302패 (56.10%),959점
qzedujlp,CHALLENGER,528승 483패 (52.23%),959점
XiaoHuaSheng7,CHALLENGER,267승 223패 (54.49%),959점
먹고자고게임해 ,CHALLENGER,143승 72패 (66.51%),958점
픽셀 쪼가리,CHALLENGER,455승 409패 (52.66%),958점
눈이 보고 싶다,CHALLENGER,258승 221패 (53.86%),957점
미니언14,CHALLENGER,161승 120패 (57.30%),948점
BRO Ivory,CHALLENGER,834승 788패 (51.42%),940점
죽을듯이 파이팅,CHALLENGER,565승 520패 (52.07%),934점
도천지,CHALLENGER,550승 507패 (52.03%),934점
LSB Diable,GRANDMASTER,286승 242패 (54.17%),967점
정현심,GRANDMASTER,405승 354패 (53.36%),967점
imdominic,GRANDMASTER,578승 540패 (51.70%),963점
모두 행복해지길,GRANDMASTER,420승 372패 (53.03%),963점
Rascal,GRANDMASTER,386승 344패 (52.88%),957점
SimYm712,GRANDMASTER,266승 204패 (56.60%),956점
바다가 좋아요,GRANDMASTER,631승 589패 (51.72%),956점
표시를,GRANDMASTER,627승 569패 (52.42%),956점
Life1,GRANDMASTER,276승 248패 (52.67%),956점
그땐 그저 좋았다,GRANDMASTER,152승 116패 (56.72%),956점
Max Verstapen,GRANDMASTER,177승 123패 (59.00%),956점
강하다 별,GRANDMASTER,519승 477패 (52.11%),955점
DRX Fr0g,GRANDMASTER,373승 331패 (52.98%),955점
an fen,GRANDMASTER,446승 413패 (51.92%),952점
노정택,GRANDMASTER,296승 264패 (52.86%),952점
DK Fine,GRANDMASTER,98승 58패 (62.82%),951점
분 과,GRANDMASTER,224승 179패 (55.58%),948점
메가웅즈,GRANDMASTER,162승 119패 (57.65%),947점
238000,GRANDMASTER,421승 378패 (52.69%),946점
qw9rwoxkj20,GRANDMASTER,304승 269패 (53.05%),945점
난 너희들의 아빠,GRANDMASTER,317승 231패 (57.85%),945점
2000 years,GRANDMASTER,247승 201패 (55.13%),943점
aidolu,GRANDMASTER,238승 196패 (54.84%),942점
초보메이지유저,GRANDMASTER,453승 404패 (52.86%),941점
DRX DRX 1,GRANDMASTER,174승 128패 (57.62%),941점
Kingen,GRANDMASTER,247승 207패 (54.41%),941점
주희너무예뻐요,GRANDMASTER,208승 146패 (58.76%),941점
chases3,GRANDMASTER,748승 705패 (51.48%),940점
zen me ge shi,GRANDMASTER,152승 111패 (57.79%),940점
HLE Haetae,GRANDMASTER,311승 276패 (52.98%),939점
Ninefog,GRANDMASTER,693승 660패 (51.22%),939점
zjl3,GRANDMASTER,449승 397패 (53.07%),937점
진흙 속의 비,GRANDMASTER,710승 669패 (51.49%),936점
신이정해주신거야,GRANDMASTER,572승 525패 (52.14%),936점
asdpoas,GRANDMASTER,262승 225패 (53.80%),927점
nfof,GRANDMASTER,181승 134패 (57.46%),923점
zcxsdasdas,GRANDMASTER,479승 439패 (52.18%),922점
Zac,GRANDMASTER,733승 699패 (51.19%),921점
daoxinwengu1,GRANDMASTER,448승 405패 (52.52%),920점
이렐아칼리,GRANDMASTER,190승 156패 (54.91%),919점
PIG MlD,GRANDMASTER,493승 448패 (52.39%),919점
슈퍼빅고수,GRANDMASTER,423승 378패 (52.81%),919점
Challengers T1,GRANDMASTER,213승 164패 (56.50%),918점
남수단사 람이 다,GRANDMASTER,372승 327패 (53.22%),917점
Count1ing sheep,GRANDMASTER,1044승 991패 (51.30%),916점
relocate2,GRANDMASTER,264승 205패 (56.29%),912점
xiaokaouo,GRANDMASTER,186승 113패 (62.21%),911점
25 5 15 14 8 15,GRANDMASTER,188승 136패 (58.02%),909점
2 C U Again,GRANDMASTER,592승 546패 (52.02%),909점
전령무새,GRANDMASTER,164승 124패 (56.94%),909점
빼꼼 미어캣,GRANDMASTER,139승 88패 (61.23%),908점
19viciousstepdad,GRANDMASTER,380승 335패 (53.15%),907점
망나니박진수,GRANDMASTER,412승 378패 (52.15%),906점
NS Dahlia,GRANDMASTER,690승 660패 (51.11%),906점
미스포츈외길인생,GRANDMASTER,726승 692패 (51.20%),905점
Du bian che,GRANDMASTER,259승 219패 (54.18%),905점
Permaban12476164,GRANDMASTER,186승 106패 (63.70%),905점
개깡구,GRANDMASTER,268승 194패 (58.01%),905점
팀운오르는주파수,GRANDMASTER,442승 389패 (53.19%),904점
딸기따르트으,GRANDMASTER,598승 553패 (51.95%),903점
huang tian di1,GRANDMASTER,146승 101패 (59.11%),903점
OMGAbIe,GRANDMASTER,329승 282패 (53.85%),899점
xiaolongbao7,GRANDMASTER,376승 344패 (52.22%),899점
owoqaq,GRANDMASTER,329승 284패 (53.67%),898점
호시노 미닛,GRANDMASTER,330승 295패 (52.80%),898점
신희수의 말티즈,GRANDMASTER,250승 214패 (53.88%),898점
yasuu,GRANDMASTER,192승 156패 (55.17%),898점
LLCC fans,GRANDMASTER,191승 147패 (56.51%),897점
KDF Lancer,GRANDMASTER,403승 355패 (53.17%),896점
유우우우우우우리,GRANDMASTER,151승 99패 (60.40%),896점
KT 하이프,GRANDMASTER,323승 281패 (53.48%),895점
HLE 템페스터 ,GRANDMASTER,379승 337패 (52.93%),895점
날건들면알지,GRANDMASTER,354승 318패 (52.68%),894점
나이스 지렸다,GRANDMASTER,381승 340패 (52.84%),894점
06탑프로지망생,GRANDMASTER,308승 253패 (54.90%),892점
너와백년해로하다,GRANDMASTER,542승 500패 (52.02%),891점
Flower1ng,GRANDMASTER,191승 143패 (57.19%),890점
WuGuanFengYue0,GRANDMASTER,257승 211패 (54.91%),889점
진짜 다르다,GRANDMASTER,258승 223패 (53.64%),889점
mian ju  zhi hou,GRANDMASTER,189승 145패 (56.59%),889점
Honeyyyyyy,GRANDMASTER,275승 232패 (54.24%),889점
lv1 곽괍류,GRANDMASTER,275승 232패 (54.24%),889점
더운거너무싫어,GRANDMASTER,225승 180패 (55.56%),888점
나이트 에이전트,GRANDMASTER,195승 163패 (54.47%),885점
DRX 파덕,GRANDMASTER,429승 386패 (52.64%),884점
Haeoreum,GRANDMASTER,312승 263패 (54.26%),884점
WALLE828,GRANDMASTER,257승 183패 (58.41%),883점
귀멸의 칼날 렌고쿠 쿄주로,GRANDMASTER,235승 194패 (54.78%),880점
NS Carim,GRANDMASTER,391승 352패 (52.62%),880점
Cliyrd,GRANDMASTER,151승 81패 (65.09%),880점
나는롤하는기계다,GRANDMASTER,541승 507패 (51.62%),879점
naiyoupeigenmian,GRANDMASTER,559승 517패 (51.95%),879점
잠자는 왕,GRANDMASTER,195승 150패 (56.52%),878점
난널기다리고있어,GRANDMASTER,918승 855패 (51.78%),878점
dank0,GRANDMASTER,150승 77패 (66.08%),876점
할수있어내가할게,GRANDMASTER,291승 242패 (54.60%),876점
AraragiKoyomi,GRANDMASTER,252승 214패 (54.08%),875점
lkklkldaklkld,GRANDMASTER,163승 111패 (59.49%),875점
banye kami,GRANDMASTER,439승 370패 (54.26%),875점
kouzhaoxia,GRANDMASTER,148승 83패 (64.07%),874점
daoxinwengu4,GRANDMASTER,178승 135패 (56.87%),873점
Leiny,GRANDMASTER,283승 246패 (53.50%),873점
줘패놓기전에 눈 깔고다녀라,GRANDMASTER,155승 98패 (61.26%),871점
SajiaoBaby,GRANDMASTER,165승 97패 (62.98%),871점
마지막 반년,GRANDMASTER,218승 173패 (55.75%),870점
이러다여름이온다,GRANDMASTER,334승 301패 (52.60%),870점
Manycpyfjtjkyxf,GRANDMASTER,302승 240패 (55.72%),869점
KT 캐슬,GRANDMASTER,254승 207패 (55.10%),869점
NS Calix,GRANDMASTER,834승 798패 (51.10%),868점
Gen G Winner,GRANDMASTER,164승 118패 (58.16%),868점
진라면순한맛사랑,GRANDMASTER,232승 185패 (55.64%),868점
하나둘셋 찰칵,GRANDMASTER,146승 108패 (57.48%),868점
우우리,GRANDMASTER,294승 258패 (53.26%),867점
카나비1,GRANDMASTER,524승 487패 (51.83%),866점
thyn,GRANDMASTER,166승 129패 (56.27%),866점
hhhhbbbb,GRANDMASTER,391승 360패 (52.06%),861점
BRO DDoiV,GRANDMASTER,1127승 1085패 (50.95%),860점
pppxxx,GRANDMASTER,285승 235패 (54.81%),860점
여름별1,GRANDMASTER,692승 639패 (51.99%),860점
ToongE,GRANDMASTER,614승 578패 (51.51%),860점
JustLikeThatKR,GRANDMASTER,512승 470패 (52.14%),859점
케리한다는마인드,GRANDMASTER,360승 323패 (52.71%),858점
벨베슥,GRANDMASTER,469승 420패 (52.76%),858점
오골계닭다리,GRANDMASTER,216승 179패 (54.68%),857점
꺾인 마음,GRANDMASTER,191승 147패 (56.51%),856점
winny6,GRANDMASTER,260승 191패 (57.65%),856점
Lehends,GRANDMASTER,236승 197패 (54.50%),856점
추돼지,GRANDMASTER,151승 117패 (56.34%),854점
yang zhi bu ou,GRANDMASTER,370승 301패 (55.14%),854점
wangbadashen001,GRANDMASTER,457승 395패 (53.64%),854점
hi im spoon,GRANDMASTER,414승 373패 (52.60%),854점
GGA Bean,GRANDMASTER,602승 569패 (51.41%),854점
DuDu111,GRANDMASTER,332승 289패 (53.46%),853점
WWGW,GRANDMASTER,167승 138패 (54.75%),852점
yuumibaby,GRANDMASTER,416승 371패 (52.86%),851점
Ye0ul,GRANDMASTER,266승 232패 (53.41%),850점
다누리 사랑해요,GRANDMASTER,374승 333패 (52.90%),850점
88888888885,GRANDMASTER,324승 284패 (53.29%),849점
유렉이,GRANDMASTER,268승 219패 (55.03%),849점
