name,tear,score,rate
허거덩,CHALLENGER,1946점,206승 134패 (60.59%)
카 엘,CHALLENGER,1802점,242승 171패 (58.60%)
dlwlrma22,CHALLENGER,1767점,262승 186패 (58.48%)
Moham,CHALLENGER,1719점,530승 449패 (54.14%)
Radiohead,CHALLENGER,1705점,380승 324패 (53.98%)
정지훈,CHALLENGER,1638점,364승 288패 (55.83%)
Karis,CHALLENGER,1625점,322승 260패 (55.33%)
qazwsxedcrfvdf,CHALLENGER,1600점,276승 202패 (57.74%)
XiaoHao,CHALLENGER,1591점,235승 147패 (61.52%)
불 독,CHALLENGER,1580점,190승 121패 (61.09%)
뚱뚱이,CHALLENGER,1571점,380승 317패 (54.52%)
nikett,CHALLENGER,1559점,400승 292패 (57.80%)
어쩌라고맞짱뜰까,CHALLENGER,1554점,218승 157패 (58.13%)
Arnold Hur,CHALLENGER,1518점,369승 291패 (55.91%)
hwa i tings,CHALLENGER,1514점,610승 545패 (52.81%)
HamBak,CHALLENGER,1507점,300승 228패 (56.82%)
Lure,CHALLENGER,1498점,367승 293패 (55.61%)
윤용호,CHALLENGER,1490점,315승 246패 (56.15%)
플레이리스트겨울,CHALLENGER,1466점,288승 233패 (55.28%)
숟가락전사,CHALLENGER,1459점,402승 340패 (54.18%)
Azhy,CHALLENGER,1414점,252승 192패 (56.76%)
jinyuhuahuo,CHALLENGER,1408점,367승 302패 (54.86%)
Rooster,CHALLENGER,1407점,354승 286패 (55.31%)
Way,CHALLENGER,1403점,292승 245패 (54.38%)
읽씹맨,CHALLENGER,1402점,455승 391패 (53.78%)
관 모,CHALLENGER,1401점,572승 518패 (52.48%)
kiin,CHALLENGER,1398점,182승 124패 (59.48%)
태 윤,CHALLENGER,1392점,308승 253패 (54.90%)
밤이싫어,CHALLENGER,1390점,403승 338패 (54.39%)
르세라핌 정훈,CHALLENGER,1389점,168승 95패 (63.88%)
homem aranha,CHALLENGER,1388점,214승 153패 (58.31%)
Kingen,CHALLENGER,1386점,348승 287패 (54.80%)
Sad mood,CHALLENGER,1375점,221승 162패 (57.70%)
노장 두티,CHALLENGER,1368점,252승 194패 (56.50%)
livinli,CHALLENGER,1364점,193승 123패 (61.08%)
gougoujingzhang,CHALLENGER,1362점,350승 295패 (54.26%)
Minous,CHALLENGER,1359점,303승 244패 (55.39%)
Effort,CHALLENGER,1359점,241승 195패 (55.28%)
ShowMaker,CHALLENGER,1356점,220승 171패 (56.27%)
HLE Life Esports,CHALLENGER,1354점,263승 213패 (55.25%)
Quad,CHALLENGER,1347점,292승 214패 (57.71%)
luckyqqqq,CHALLENGER,1342점,336승 277패 (54.81%)
Samver,CHALLENGER,1340점,294승 231패 (56.00%)
Deft,CHALLENGER,1337점,350승 299패 (53.93%)
xycg,CHALLENGER,1336점,418승 358패 (53.87%)
NS Callme,CHALLENGER,1317점,456승 400패 (53.27%)
Burdol,CHALLENGER,1316점,226승 161패 (58.40%)
DK Lucid,CHALLENGER,1314점,284승 235패 (54.72%)
Morgan,CHALLENGER,1291점,155승 104패 (59.85%)
따봉 람머스,CHALLENGER,1290점,250승 199패 (55.68%)
광연44,CHALLENGER,1289점,159승 88패 (64.37%)
강성인,CHALLENGER,1285점,292승 239패 (54.99%)
HamBak,CHALLENGER,1283점,201승 138패 (59.29%)
안죽기장인,CHALLENGER,1261점,220승 166패 (56.99%)
astroboy,CHALLENGER,1260점,194승 134패 (59.15%)
건물 사이 장미,CHALLENGER,1258점,194승 147패 (56.89%)
타 잔,CHALLENGER,1256점,309승 253패 (54.98%)
따붕 람미스,CHALLENGER,1255점,275승 214패 (56.24%)
Winner,CHALLENGER,1252점,149승 98패 (60.32%)
나 비,CHALLENGER,1239점,240승 190패 (55.81%)
DK Sharvel,CHALLENGER,1234점,505승 453패 (52.71%)
Ilumiss,CHALLENGER,1233점,272승 207패 (56.78%)
모든것을극한으로,CHALLENGER,1232점,316승 247패 (56.13%)
당신은 사랑해요,CHALLENGER,1229점,410승 356패 (53.52%)
IIrrooGG,CHALLENGER,1229점,158승 96패 (62.20%)
i want to pro,CHALLENGER,1226점,353승 273패 (56.39%)
LFT DICE,CHALLENGER,1219점,245승 187패 (56.71%)
T1 Smash,CHALLENGER,1215점,235승 192패 (55.04%)
Chinata,CHALLENGER,1213점,432승 379패 (53.27%)
텐동맨,CHALLENGER,1212점,204승 153패 (57.14%)
Blue Oasis,CHALLENGER,1210점,174승 141패 (55.24%)
타 잔,CHALLENGER,1210점,290승 236패 (55.13%)
add astra,CHALLENGER,1210점,187승 130패 (58.99%)
Samver,CHALLENGER,1208점,343승 289패 (54.27%)
의 주,CHALLENGER,1208점,126승 73패 (63.32%)
LSB,CHALLENGER,1204점,223승 171패 (56.60%)
Zeus,CHALLENGER,1204점,226승 179패 (55.80%)
